witel;nama_lop;nama_segment;nama_kemitraan;alamat;stat;potensi_hh;jumlah_huni;developer;nama_mitra;status_bangunan;coordinate;jml_odp;status_ftth;image;;;;;;;;;;;;;;;;;;;
1;PERUMAHAN BRD RESIDENCE;Non APC;Non Partnership;Bumirejo, Pekalongan Barat, Kota Pekalongan, Jawa Tengah 51117;Prospect;31;59;PT. AJISAKA;;Occupied(Sudah dihuni);[{109.65497989207506, -6.905817611750994},{109.65460438281298, -6.9057643567487945},{109.6510960534215, -6.906264953532775},{109.65171832591295, -6.9051252962547895},{109.65274829417467, -6.905370269546198},{109.65328473597765, -6.904944228957888},{109.65515155345201, -6.9050081350705845},{109.65497989207506, -6.905817611750994}];3;Ready;;;;;;;;;;;;;;;;;;;;
1;PERUMAHAN PISMA SERUNI ASRI;Non APC;Marketing;;Pra Prospect;57;3;PT PISMA GAJAH PUTRA;;Occupied(Sudah dihuni);[{109.69763774424791,-6.888445512311828},{109.69679016619921,-6.8882963928216405},{109.69688672572374,-6.887785125642176},{109.69773430377245,-6.887944896694969},{109.69763774424791,-6.888445512311828}];;Not_Ready;;;;;;;;;;;;;;;;;;;;
1;PERUMAHAN GAMA ASRI PEKALONGAN;Non APC;Marketing;;Pra Prospect;300;120;;;Occupied(Sudah dihuni);[{109.65944895520806,-6.8911456321118365},{109.65941676869988,-6.891443869253264},{109.65993711724877,-6.891502451526849},{109.65996930375695,-6.8911669347710225},{109.65944895520806,-6.8911456321118365}];2;Ready;;;;;;;;;;;;;;;;;;;;
1;PERUMAHAN SHAPPIRE MEDITERANIA PEKALONGAN;Premium Cluster;Marketing;Jl Kapt Patimura Gamer Pekalongan Jawa Tengah;Go Live;85;12;PT. MITRA SHAPPIRE SEJAHTERA;Telkom Akses, PT;Occupied(Sudah dihuni);;1;Not_Ready;;;;;;;;;;;;;;;;;;;;
1;PERUMAHAN CITRA GARDEN;Premium Cluster;Non Partnership;Jalan Kusuma Bangsa, Panjang Baru, Pekalongan Utara, Panjang Baru, Pekalongan, Kota Pekalongan, Jawa Tengah 51141;Prospect;86;36;PT. INTAN KHARISMA JAYA;;Occupied(Sudah dihuni);;6;Ready;;;;;;;;;;;;;;;;;;;;
1;PERUMAHAN GAIA RESIDENCE;Premium Cluster;Non Partnership;Jl Slamet Riyadi Batang Jawa Tengah;Prospect;52;38;DAFAMLAND;;Occupied(Sudah dihuni);;2;Ready;;;;;;;;;;;;;;invalid;poweredby;tanggal_proses;id_project;jml_odp;status_ftth;ESRI_OID
1;PERUMAHAN JATAYU RESIDENCE;Premium Cluster;Non Partnership;Panjang Wetan, Pekalongan Utara, Kota Pekalongan, Jawa Tengah 51141;Prospect;85;35;DAFAMLAND;;Occupied(Sudah dihuni);;2;Ready;;;;;;;;;;;;;;0;;8/1/2018, 11:01 AM;3333;;;52
1;HUNIAN ISLAMI AR RAYYAN;Premium Cluster;Non Partnership;jl gamer pekalongan jawa tengah;Pra Prospect;22;14;;;Occupied(Sudah dihuni);;1;Not_Ready;;;;;;;;;;;;;;0;;8/1/2018, 11:01 AM;3346;;;61
1;SAPPHIRE TOWN HOUSE;Premium Cluster;Infrastruktur;;Pra Prospect;94;4;;;Occupied(Sudah dihuni);;2;Ready;;;;;;;;;;;;;;0;;8/1/2018, 11:01 AM;3351;;;65
1;PERUMAHAN PISMA GARDEN RESIDENCE;Premium Cluster;Non Partnership;;Pra Prospect;107;91;PT PISMA GAJAH PUTRA;;Occupied(Sudah dihuni);;2;Ready;;;;;;;;;;;;;;0;;8/1/2018, 11:01 AM;3356;;;69
