witel;name;lat;lon;kandatel;status_occ;service_port;device_port;image
1;ODP-PKL-FA/01 FA/D01/01.01;-6.8914;109.6704;PEKALONGAN;GREEN;6;8;http://mita-backend-dev.vsan-apps.playcourt.id/images/odp_hijau.png
1;ODP-PKL-FA/02 FA/D01/02.01;-6.8914;109.6703;PEKALONGAN;YELLOW;3;8;http://mita-backend-dev.vsan-apps.playcourt.id/images/odp_kuning.png
1;ODP-PKL-FA/03 FA/D01/03.01;-6.8912;109.6697;PEKALONGAN;GREEN;15;16;http://mita-backend-dev.vsan-apps.playcourt.id/images/odp_hijau.png
1;ODP-PKL-FA/04 FA/D01/04.01;-6.8908;109.6693;PEKALONGAN;GREEN;13;16;http://mita-backend-dev.vsan-apps.playcourt.id/images/odp_hijau.png
1;ODP-PKL-FA/05 FA/D01/05.01;-6.8902;109.6686;PEKALONGAN;GREEN;10;16;http://mita-backend-dev.vsan-apps.playcourt.id/images/odp_hijau.png
1;ODP-PKL-FA/06 FA/D01/06.01;-6.8902;109.6693;PEKALONGAN;GREEN;14;16;http://mita-backend-dev.vsan-apps.playcourt.id/images/odp_hijau.png
1;ODP-PKL-FA/071 FA/D05/071.01;-6.888695;109.669201;PEKALONGAN;BLACK;8;8;http://mita-backend-dev.vsan-apps.playcourt.id/images/odp_hitam.png
1;ODP-PKL-FA/073 FA/D05/073.01;-6.888504;109.670818;PEKALONGAN;BLACK;8;8;http://mita-backend-dev.vsan-apps.playcourt.id/images/odp_hitam.png
1;ODP-PKL-FA/074 FA/D02/074.01;-6.891882;109.672287;PEKALONGAN;BLACK;8;8;http://mita-backend-dev.vsan-apps.playcourt.id/images/odp_hitam.png
1;ODP-PKL-FA/075 FA/D02/075.01;-6.890629;109.670988;PEKALONGAN;YELLOW;4;8;http://mita-backend-dev.vsan-apps.playcourt.id/images/odp_kuning.png
1;ODP-PKL-FA/076 FA/D03/076.01;-6.886726;109.671769;PEKALONGAN;BLACK;8;8;http://mita-backend-dev.vsan-apps.playcourt.id/images/odp_hitam.png
1;ODP-PKL-FA/07 FA/D01/07.01;-6.8898;109.6696;PEKALONGAN;GREEN;10;16;http://mita-backend-dev.vsan-apps.playcourt.id/images/odp_hijau.png
1;ODP-PKL-FA/08 FA/D01/08.01;-6.8896;109.6691;PEKALONGAN;GREEN;5;8;http://mita-backend-dev.vsan-apps.playcourt.id/images/odp_hijau.png
1;ODP-PKL-FA/09 FA/D01/09.01;-6.8895;109.6685;PEKALONGAN;GREEN;13;16;http://mita-backend-dev.vsan-apps.playcourt.id/images/odp_hijau.png
1;ODP-PKL-FA/10 FA/D02/10.01;-6.8937;109.673;PEKALONGAN;YELLOW;4;16;http://mita-backend-dev.vsan-apps.playcourt.id/images/odp_kuning.png
1;ODP-PKL-FA/11 FA/D02/10.11;-6.893;109.6718;PEKALONGAN;YELLOW;3;8;http://mita-backend-dev.vsan-apps.playcourt.id/images/odp_kuning.png
1;ODP-PKL-FA/12 FA/D02/10.12;-6.8931;109.6722;PEKALONGAN;YELLOW;4;8;http://mita-backend-dev.vsan-apps.playcourt.id/images/odp_kuning.png
1;ODP-PKL-FA/13 FA/D02/09.13;-6.8927;109.6727;PEKALONGAN;GREEN;7;8;http://mita-backend-dev.vsan-apps.playcourt.id/images/odp_hijau.png
1;ODP-PKL-FA/14 FA/D02/08.14;-6.8925;109.6721;PEKALONGAN;GREEN;14;16;http://mita-backend-dev.vsan-apps.playcourt.id/images/odp_hijau.png
1;ODP-PKL-FA/15 FA/D02/07.15;-6.8923;109.6715;PEKALONGAN;GREEN;6;8;http://mita-backend-dev.vsan-apps.playcourt.id/images/odp_hijau.png
